Entity,Code,Year,share_expenditure_food,consumer_expenditure,Continent
Abkhazia,OWID_ABK,2015,,,Asia
Afghanistan,AFG,2015,,,Asia
Akrotiri and Dhekelia,OWID_AKD,2015,,,Asia
Albania,ALB,2015,,,Europe
Algeria,DZA,2021,37.25587,1648.0647,
Algeria,DZA,2015,,,Africa
American Samoa,ASM,2015,,,Oceania
Andorra,AND,2015,,,Europe
Angola,AGO,2021,49.737926,1322.1558,
Angola,AGO,2015,,,Africa
Anguilla,AIA,2015,,,North America
Antarctica,ATA,2015,,,Antarctica
Antigua and Barbuda,ATG,2015,,,North America
Argentina,ARG,2021,23.198097,6443.1685,
Argentina,ARG,2015,,,South America
Armenia,ARM,2015,,,Asia
Aruba,ABW,2015,,,North America
Australia,AUS,2021,9.974969,32475.715,
Australia,AUS,2015,,,Oceania
Austria,AUT,2021,11.312785,26409.473,
Austria,AUT,2015,,,Europe
Austria-Hungary,OWID_AUH,2015,,,Europe
Azerbaijan,AZE,2021,43.555817,2809.143,
Azerbaijan,AZE,2015,,,Asia
Baden,OWID_BAD,2015,,,Europe
Bahamas,BHS,2015,,,North America
Bahrain,BHR,2021,13.064381,9485.243,
Bahrain,BHR,2015,,,Asia
Bangladesh,BGD,2021,52.749126,1499.9324,
Bangladesh,BGD,2015,,,Asia
Barbados,BRB,2015,,,North America
Bavaria,OWID_BAV,2015,,,Europe
Belarus,BLR,2021,32.121384,3671.2693,
Belarus,BLR,2015,,,Europe
Belgium,BEL,2021,13.478635,24189.252,
Belgium,BEL,2015,,,Europe
Belize,BLZ,2015,,,North America
Benin,BEN,2015,,,Africa
Bermuda,BMU,2015,,,North America
Bhutan,BTN,2015,,,Asia
Bolivia,BOL,2021,29.18861,2261.037,
Bolivia,BOL,2015,,,South America
Bonaire Sint Eustatius and Saba,BES,2015,,,North America
Bosnia and Herzegovina,BIH,2021,30.022688,4734.8525,
Bosnia and Herzegovina,BIH,2015,,,Europe
Botswana,BWA,2015,,,Africa
Bouvet Island,BVT,2015,,,Antarctica
Brazil,BRA,2021,16.252525,4442.8306,
Brazil,BRA,2015,,,South America
British Indian Ocean Territory,IOT,2015,,,Asia
British Virgin Islands,VGB,2015,,,North America
Brunei,BRN,2015,,,Asia
Bulgaria,BGR,2021,19.334064,6924.803,
Bulgaria,BGR,2015,,,Europe
Burkina Faso,BFA,2015,,,Africa
Burundi,BDI,2015,,,Africa
Cambodia,KHM,2021,42.712593,1279.3658,
Cambodia,KHM,2015,,,Asia
Cameroon,CMR,2021,45.21058,1196.5359,
Cameroon,CMR,2015,,,Africa
Canada,CAN,2021,9.985679,27704.783,
Canada,CAN,2015,,,North America
Cape Verde,CPV,2015,,,Africa
Cayman Islands,CYM,2015,,,North America
Central African Republic,CAF,2015,,,Africa
Chad,TCD,2015,,,Africa
Channel Islands,OWID_CIS,2015,,,Europe
Chile,CHL,2021,18.504671,9763.548,
Chile,CHL,2015,,,South America
China,CHN,2021,19.952589,4680.1055,
China,CHN,2015,,,Asia
Christmas Island,CXR,2015,,,Asia
Cocos Islands,CCK,2015,,,Asia
Colombia,COL,2021,18.59748,4337.639,
Colombia,COL,2015,,,South America
Comoros,COM,2015,,,Africa
Congo,COG,2015,,,Africa
Cook Islands,COK,2015,,,Oceania
Costa Rica,CRI,2021,31.579697,8411.837,
Costa Rica,CRI,2015,,,North America
Cote d'Ivoire,CIV,2021,38.530193,1747.9529,
Cote d'Ivoire,CIV,2015,,,Africa
Croatia,HRV,2021,19.568707,11530.0625,
Croatia,HRV,2015,,,Europe
Cuba,CUB,2015,,,North America
Curacao,CUW,2015,,,North America
Cyprus,CYP,2015,,,Europe
Czechia,CZE,2021,16.136227,12067.872,
Czechia,CZE,2015,,,Europe
Czechoslovakia,OWID_CZS,2015,,,Europe
Democratic Republic of Congo,COD,2015,,,Africa
Denmark,DNK,2021,12.320651,30251.883,
Denmark,DNK,2015,,,Europe
Djibouti,DJI,2015,,,Africa
Dominica,DMA,2015,,,North America
Dominican Republic,DOM,2021,26.796751,6247.196,
Dominican Republic,DOM,2015,,,North America
East Germany,OWID_GDR,2015,,,Europe
Ecuador,ECU,2021,26.310055,3740.6025,
Ecuador,ECU,2015,,,South America
Egypt,EGY,2021,37.588936,3642.3933,
Egypt,EGY,2015,,,Africa
El Salvador,SLV,2021,26.51741,3902.6797,
El Salvador,SLV,2015,,,North America
Equatorial Guinea,GNQ,2015,,,Africa
Eritrea,ERI,2015,,,Africa
Eritrea and Ethiopia,OWID_ERE,2015,,,Africa
Estonia,EST,2021,20.17674,12992.181,
Estonia,EST,2015,,,Europe
Eswatini,SWZ,2015,,,Africa
Ethiopia,ETH,2021,41.309013,592.4403,
Ethiopia,ETH,2015,,,Africa
Faeroe Islands,FRO,2015,,,Europe
Falkland Islands,FLK,2015,,,South America
Fiji,FJI,2015,,,Oceania
Finland,FIN,2021,11.97864,26194.64,
Finland,FIN,2015,,,Europe
France,FRA,2021,14.06504,22995.982,
France,FRA,2015,,,Europe
French Guiana,GUF,2015,,,South America
French Polynesia,PYF,2015,,,Oceania
French Southern Territories,ATF,2015,,,Antarctica
Gabon,GAB,2015,,,Africa
Gambia,GMB,2015,,,Africa
Georgia,GEO,2021,32.28741,4300.2734,
Georgia,GEO,2015,,,Asia
Germany,DEU,2021,11.976833,24188.703,
Germany,DEU,2015,,,Europe
Ghana,GHA,2021,39.247723,1651.698,
Ghana,GHA,2015,,,Africa
Gibraltar,GIB,2015,,,Europe
Greece,GRC,2021,17.637985,14117.1875,
Greece,GRC,2015,,,Europe
Greenland,GRL,2015,,,North America
Grenada,GRD,2015,,,North America
Guadeloupe,GLP,2015,,,North America
Guam,GUM,2015,,,Oceania
Guatemala,GTM,2021,34.604183,4291.291,
Guatemala,GTM,2015,,,North America
Guernsey,GGY,2015,,,Europe
Guinea,GIN,2015,,,Africa
Guinea-Bissau,GNB,2015,,,Africa
Guyana,GUY,2015,,,South America
Haiti,HTI,2015,,,North America
Hanover,OWID_HAN,2015,,,Europe
Heard Island and McDonald Islands,HMD,2015,,,Antarctica
Hesse Electoral,OWID_HSE,2015,,,Europe
Hesse Grand Ducal,OWID_HSG,2015,,,Europe
Honduras,HND,2021,31.932835,2229.999,
Honduras,HND,2015,,,North America
Hong Kong,HKG,2021,12.056283,30453.373,
Hong Kong,HKG,2015,,,Asia
Hungary,HUN,2021,17.968746,8886.792,
Hungary,HUN,2015,,,Europe
Iceland,ISL,2015,,,Europe
India,IND,2021,32.083492,1391.5947,
India,IND,2015,,,Asia
Indonesia,IDN,2021,33.853706,2360.8198,
Indonesia,IDN,2015,,,Asia
Iran,IRN,2021,28.69944,7624.2344,
Iran,IRN,2015,,,Asia
Iraq,IRQ,2021,29.634119,1951.4076,
Iraq,IRQ,2015,,,Asia
Ireland,IRL,2021,9.241572,23240.537,
Ireland,IRL,2015,,,Europe
Isle of Man,IMN,2015,,,Europe
Israel,ISR,2021,15.958162,25044.266,
Israel,ISR,2015,,,Asia
Italy,ITA,2021,15.501358,20439.045,
Italy,ITA,2015,,,Europe
Jamaica,JAM,2015,,,North America
Japan,JPN,2021,16.690418,20723.898,
Japan,JPN,2015,,,Asia
Jersey,JEY,2015,,,Europe
Jordan,JOR,2021,26.371399,3513.235,
Jordan,JOR,2015,,,Asia
Kazakhstan,KAZ,2021,49.421284,5168.118,
Kazakhstan,KAZ,2015,,,Asia
Kenya,KEN,2021,56.078693,1578.82,
Kenya,KEN,2015,,,Africa
Kiribati,KIR,2015,,,Oceania
Kosovo,OWID_KOS,2015,,,Europe
